subject,detection_prob,sex,correct,median_latency
06b,0.648869,female,1,33.13
06b,0.671609,female,1,NA
06b,0.684532,female,1,46.61
06b,0.699498,female,1,58.73
06b,0.70325,female,1,77.96
06b,0.749062,female,0,67.36
06b,0.788278,female,1,58.86
06b,0.82643,female,1,43.07
06b,0.85387,female,1,48.41
06b,0.860985,female,1,62.06
06b,0.865516,female,1,42.1101
06b,0.876261,female,1,55.22
06b,0.880687,female,1,NA
06b,0.99736,female,1,48.24
06c,0.223634,male,0,NA
06c,0.25212,male,1,56.38
06c,0.258001,male,0,35.05
06c,0.267147,male,0,81.88
06c,0.399631,male,0,30.88
06c,0.403143,male,1,30.15
06c,0.406367,male,0,73.95
06c,0.408203,male,0,33.68
06c,0.42264,male,1,43.85
06c,0.430704,male,0,56.64
06c,0.437773,male,1,NA
06c,0.48064,male,0,42.61
06c,0.482238,male,1,NA
06c,0.483451,male,0,54.36
06c,0.516592,male,0,52.45
06c,0.51882,male,1,46.32
06c,0.574489,male,0,52.09
06c,0.585247,male,0,32.29
06c,0.656342,male,1,30.06
06c,0.660871,male,1,30.51
06c,0.684281,male,1,39.3
06c,0.762773,male,0,NA
06c,0.884684,male,0,31.41
06c,0.888757,male,0,35.61
06c,0.902924,male,1,53.33
06c,0.943136,male,0,80.89
06c,0.9635,male,0,22.85
06c,0.994958,male,1,45.18
06d,0.184157,female,0,53.22
06d,0.226268,female,1,30.29
06d,0.245773,female,1,32.87
06d,0.28091699999999997,female,0,35.43
06d,0.287809,female,1,NA
06d,0.310301,female,1,26.2
06d,0.317091,female,0,49.81
06d,0.376125,female,1,64.49
06d,0.400457,female,1,NA
06d,0.478271,female,1,44.3699
06d,0.533684,female,1,NA
06d,0.63216,female,1,38.2
06d,0.652717,female,1,NA
06d,0.665704,female,1,80.17
06d,0.686226,female,1,37.08
06d,0.702564,female,0,41
06d,0.762018,female,1,42.29
06d,0.770994,female,1,39.81
06d,0.804385,female,1,55.71
06d,0.805326,female,1,30.04
06d,0.833036,female,1,81.2499
06d,0.839659,female,1,77.27
06d,0.893256,female,1,45.85
06d,0.895435,female,1,24.6301
06d,0.90331,female,1,23.1699
06d,0.904858,female,1,38.03
06d,0.948202,female,1,51.65
06d,0.983611,female,0,48.57
07a,0.295843,female,1,46.15
07a,0.318456,female,1,69.8
